Geneid,control Evs_1,control Evs_2,control Evs_3,IL-10 Evs_1,IL-10 Evs_2,IL-10 Evs_3
mmu-mir-1934,0,0,0,2,0,0
mmu-mir-6924,0,0,0,0,0,0
mmu-mir-324,2,0,0,0,1,1
mmu-mir-497b,0,0,0,0,0,0
mmu-mir-497a,0,0,0,0,0,0
mmu-mir-195a,0,0,0,0,0,0
mmu-mir-7115,1,1,0,0,0,0
mmu-mir-6925,0,3,0,0,0,0
mmu-mir-6338,0,0,0,0,0,0
mmu-mir-6926,0,0,0,0,0,0
mmu-mir-212,0,0,0,1,0,0
mmu-mir-132,1,0,0,0,0,3
mmu-mir-22,0,0,0,0,0,0
mmu-mir-3971,0,0,0,0,0,1
mmu-mir-423,3,0,5,4,2,13
mmu-mir-144,0,0,11,25,0,0
mmu-mir-451a,0,0,0,0,0,0
mmu-mir-451b,0,0,0,0,0,0
mmu-mir-7653,0,0,0,0,0,0
mmu-mir-193a,0,0,0,5,0,0
mmu-mir-365-2,0,0,0,1,0,0
mmu-mir-7679,1,0,0,0,0,0
mmu-mir-5110,1,0,2,1,0,0
mmu-mir-21a,2,5,10,17,1,5
mmu-mir-301a,0,0,0,0,1,0
mmu-mir-142b,0,0,0,1,0,0
mmu-mir-142a,10,6,20,10,8,8
mmu-mir-378b,1,2,0,2,0,0
mmu-mir-3063,0,0,0,0,0,0
mmu-mir-196a-1,0,1,0,0,0,0
mmu-mir-10a,0,1,0,0,0,0
mmu-mir-152,0,0,1,1,0,0
mmu-mir-8103,0,0,0,0,0,0
mmu-mir-7235,0,0,0,0,0,0
mmu-mir-6927,0,0,0,0,0,0
mmu-mir-8102,0,1,0,0,0,7
mmu-mir-5119,25,14,20,32,2,35
mmu-mir-7116,0,2,0,0,0,0
mmu-mir-6928,0,0,0,0,0,0
mmu-mir-6929,0,0,0,0,0,0
mmu-mir-8101,0,3,0,0,0,0
mmu-mir-6930,0,0,0,0,0,0
mmu-mir-6931,0,0,0,1,0,0
mmu-mir-3064,0,0,0,0,0,0
mmu-mir-6932,0,0,0,0,0,0
mmu-mir-7223,0,0,0,0,0,0
mmu-mir-3968,16,5,2,0,0,4
mmu-mir-5621,0,0,0,0,0,0
mmu-mir-6516,3,7,1,19,2,7
mmu-mir-6933,0,0,0,0,0,0
mmu-mir-6934,0,0,0,0,0,0
mmu-mir-1932,2,0,0,1,0,0
mmu-mir-338,8,0,0,0,0,1
mmu-mir-3065,0,0,0,0,0,0
mmu-mir-6935,0,0,0,0,0,0
mmu-mir-6936,0,0,0,2,0,0
mmu-mir-7236,0,0,0,0,0,0
mmu-mir-7675,0,0,0,0,0,0
mmu-mir-6387,4,1,0,3,1,2
mmu-mir-3066,0,0,0,0,0,0
mmu-mir-6538,0,3,0,2,0,2
mmu-mir-6937,0,0,0,0,0,0
mmu-mir-680-3,0,0,0,0,0,0
mmu-mir-5099,314,144,181,174,142,79
mmu-mir-1938,1,0,0,1,0,0
mmu-mir-5627,0,0,0,0,0,0
mmu-mir-1892,0,0,0,0,0,0
mmu-mir-681,0,0,0,0,0,0
mmu-mir-5101,0,0,0,0,0,0
mmu-mir-5135,0,0,0,0,0,0
mmu-mir-1843a,11,0,1,9,0,3
mmu-mir-3067,0,0,0,0,0,0
mmu-mir-6938,0,0,0,0,0,0
mmu-mir-3068,7,9,12,3,4,7
mmu-mir-8099-2,0,1,0,0,0,0
mmu-mir-1190,0,0,0,0,1,0
mmu-mir-1936,0,0,0,0,0,0
mmu-mir-3069,12,3,2,47,5,0
mmu-mir-342,1,4,6,0,0,0
mmu-mir-345,0,0,0,0,0,0
mmu-mir-1906-1,0,0,0,0,0,0
mmu-mir-770,0,0,1,7,0,0
mmu-mir-673,0,0,0,0,0,0
mmu-mir-493,1,0,0,0,0,0
mmu-mir-337,0,0,0,0,0,2
mmu-mir-3544,17,12,16,11,11,18
mmu-mir-540,0,0,0,0,0,0
mmu-mir-665,0,0,0,0,0,0
mmu-mir-3070-1,0,0,0,0,0,0
mmu-mir-3070-2,0,0,0,0,0,0
mmu-mir-431,0,0,0,0,3,0
mmu-mir-433,0,0,0,0,0,0
mmu-mir-127,1,0,0,0,0,0
mmu-mir-434,0,0,0,0,0,0
mmu-mir-432,0,0,0,0,0,1
mmu-mir-3071,0,5,4,0,0,0
mmu-mir-136,2,0,0,0,0,1
mmu-mir-341,8,0,0,0,0,0
mmu-mir-1188,0,0,0,0,0,0
mmu-mir-370,12,2,0,0,0,0
mmu-mir-882,0,0,0,0,0,0
mmu-mir-379,1,3,0,0,0,0
mmu-mir-411,1,3,0,0,0,0
mmu-mir-299a,0,0,0,1,0,0
mmu-mir-299b,0,0,0,0,0,0
mmu-mir-380,0,0,0,0,0,0
mmu-mir-1197,0,1,0,0,0,1
mmu-mir-323,0,0,0,0,0,1
mmu-mir-758,0,0,0,0,0,0
mmu-mir-329,0,0,0,0,0,0
mmu-mir-494,0,0,0,0,0,0
mmu-mir-679,0,0,0,0,0,0
mmu-mir-1193,0,0,0,0,0,0
mmu-mir-666,0,0,2,0,0,2
mmu-mir-543,0,0,0,0,0,0
mmu-mir-495,0,1,0,0,0,1
mmu-mir-667,0,0,0,0,0,0
mmu-mir-376c,0,0,0,0,0,0
mmu-mir-654,3,0,0,0,0,0
mmu-mir-376b,0,0,0,0,0,0
mmu-mir-376a,0,0,0,0,0,0
mmu-mir-300,5,1,1,0,0,0
mmu-mir-381,0,0,0,0,0,0
mmu-mir-487b,0,0,0,0,0,0
mmu-mir-539,0,0,0,0,0,0
mmu-mir-544,0,0,0,0,0,0
mmu-mir-382,0,0,0,3,0,0
mmu-mir-134,0,0,0,0,0,0
mmu-mir-668,2,0,0,0,0,0
mmu-mir-485,0,0,0,0,0,0
mmu-mir-453,0,0,0,0,0,0
mmu-mir-154,0,0,1,0,0,0
mmu-mir-496a,0,0,0,0,0,0
mmu-mir-377,0,0,0,0,0,0
mmu-mir-541,0,0,0,0,0,0
mmu-mir-409,0,0,0,0,0,0
mmu-mir-412,0,0,0,1,0,0
mmu-mir-369,0,0,0,0,0,0
mmu-mir-410,0,0,0,0,0,0
mmu-mir-3072,0,0,0,0,0,0
mmu-mir-1247,0,2,0,0,0,0
mmu-mir-3073a,0,0,0,0,0,0
mmu-mir-3073b,0,0,0,0,1,0
mmu-mir-203,21,16,22,49,20,9
mmu-mir-6939,1,0,1,0,0,1
mmu-mir-6940,0,0,0,0,0,0
mmu-mir-6941,0,0,0,0,0,0
mmu-mir-7094-1,0,0,0,0,0,0
mmu-mir-7094-2,0,0,0,0,0,0
mmu-mir-6388,0,0,0,6,0,0
mmu-mir-153,1,0,0,1,0,0
mmu-mir-466i,0,0,0,0,0,0
mmu-mir-6942,0,0,0,0,0,0
mmu-mir-1896,168,278,188,132,215,196
mmu-mir-1983,10,11,16,83,3,1
mmu-mir-6368,0,0,0,0,0,0
mmu-mir-5124a,0,11,5,3,0,0
mmu-let-7d,29,16,36,77,15,9
mmu-let-7f-1,53,74,100,125,39,45
mmu-let-7a-1,156,109,185,346,90,91
mmu-mir-683-1,0,0,0,1,1,1
mmu-mir-683-2,2,0,0,1,0,0
mmu-mir-6943,0,0,0,0,0,0
mmu-mir-6944,0,0,0,0,0,0
mmu-mir-6945,0,0,0,0,0,0
mmu-mir-874,0,0,0,0,0,0
mmu-mir-6369,0,0,0,0,0,0
mmu-mir-7a-1,14,8,2,5,1,3
mmu-mir-713,0,0,0,0,0,0
mmu-mir-23b,43,33,55,99,30,13
mmu-mir-27b,4,1,2,0,1,0
mmu-mir-3074-1,0,0,0,0,0,2
mmu-mir-24-1,24,16,28,37,17,14
mmu-mir-466f-4,0,0,0,0,0,0
mmu-mir-692-3,23,73,149,515,122,58
mmu-mir-682,23,27,49,266,64,47
mmu-mir-3961,0,0,0,0,0,0
mmu-mir-9-2,14,0,0,0,0,0
mmu-mir-5624,0,0,0,0,0,0
mmu-mir-582,0,0,0,0,0,0
mmu-mir-1904,0,0,0,0,0,0
mmu-mir-449c,0,0,0,0,0,1
mmu-mir-449b,0,0,0,0,0,0
mmu-mir-449a,1,0,0,0,0,0
mmu-mir-5124b,0,0,0,0,0,0
mmu-mir-6946,0,0,1,0,0,0
mmu-mir-7210,0,0,0,0,0,0
mmu-mir-3075,0,0,0,0,0,0
mmu-mir-7672,0,0,0,0,0,0
mmu-mir-6947,0,0,1,0,0,0
mmu-mir-3076,0,0,0,0,0,0
mmu-mir-346,0,0,0,0,0,0
mmu-mir-327,0,0,0,0,0,0
mmu-mir-5131,0,0,0,1,3,0
mmu-mir-378c,2,2,0,12,0,1
mmu-mir-686,0,0,0,1,2,0
mmu-mir-6948,0,0,0,0,0,0
mmu-mir-208a,0,0,0,0,0,0
mmu-mir-208b,0,0,0,0,0,0
mmu-mir-6949,7,1,2,2,1,1
mmu-mir-3077,0,0,0,0,0,0
mmu-mir-719,0,1,0,0,0,1
mmu-mir-16-1,0,0,2,0,2,0
mmu-mir-15a,2,0,0,0,0,0
mmu-mir-8098,0,3,1,20,1,6
mmu-mir-6541,0,0,0,0,0,0
mmu-mir-598,3,0,0,2,4,1
mmu-mir-124-1,12,0,6,0,0,1
mmu-mir-3078,0,0,0,0,0,0
mmu-mir-6539,0,0,0,0,0,0
mmu-mir-6950,0,0,0,0,0,0
mmu-mir-320,0,0,2,2,2,1
mmu-mir-687,0,0,0,0,0,0
mmu-mir-1971,0,0,0,0,0,0
mmu-mir-759,0,0,0,0,0,0
mmu-mir-5130,0,0,0,0,0,0
mmu-mir-6390,1,0,0,0,0,0
mmu-mir-17,0,10,0,0,0,0
mmu-mir-18a,0,0,8,6,0,0
mmu-mir-19a,2,1,1,2,0,4
mmu-mir-20a,0,0,0,0,0,0
mmu-mir-19b-1,2,19,1,15,1,0
mmu-mir-92a-1,0,0,14,1,2,1
mmu-mir-6239,0,6,0,0,0,0
mmu-mir-6241,0,0,0,1,0,0
mmu-mir-6391,0,0,0,0,0,0
mmu-mir-1898,0,0,0,0,0,0
mmu-mir-7212,0,2,0,0,0,0
mmu-mir-7117,0,0,0,0,0,0
mmu-mir-3964,0,0,0,0,0,0
mmu-mir-599,0,0,0,0,0,0
mmu-mir-875,2,0,2,0,0,2
mmu-mir-8097,0,0,0,0,1,0
mmu-mir-6951,0,0,0,0,0,0
mmu-mir-1907,0,0,0,0,0,0
mmu-mir-28c,0,0,0,0,0,0
mmu-mir-30b,0,0,0,0,0,0
mmu-mir-30d,0,3,0,9,1,0
mmu-mir-151,1,0,2,0,0,0
mmu-mir-6952,0,0,0,0,0,0
mmu-mir-1942,0,0,0,1,0,0
mmu-mir-6953,0,0,0,0,0,0
mmu-mir-3079,0,0,0,0,0,0
mmu-mir-6954,0,0,0,0,0,0
mmu-mir-7676-1,0,0,0,0,0,0
mmu-mir-7676-2,0,0,0,0,0,0
mmu-mir-6955,0,0,0,0,3,0
mmu-mir-6956,0,0,0,0,0,0
mmu-mir-1943,0,0,0,0,0,0
mmu-mir-7213,0,0,0,0,0,0
mmu-mir-6957,0,0,0,0,0,0
mmu-mir-5113,0,0,0,0,0,0
mmu-mir-33,0,0,0,0,0,0
mmu-mir-7684,0,0,0,0,0,0
mmu-mir-3080,0,0,0,0,0,0
mmu-mir-6392,0,0,0,0,0,0
mmu-mir-1249,8,0,0,0,0,0
mmu-let-7c-2,84,65,88,246,34,55
mmu-let-7b,42,23,55,69,17,27
mmu-mir-6393,0,0,0,0,0,2
mmu-mir-7118,0,0,0,0,0,0
mmu-mir-6958,0,0,0,0,1,0
mmu-mir-6959,0,0,0,1,0,0
mmu-mir-7648,1,1,1,1,0,2
mmu-mir-1291,5,1,3,2,2,0
mmu-mir-6960,0,0,0,0,0,0
mmu-mir-6961,0,0,0,0,0,0
mmu-mir-6962,0,0,0,0,0,0
mmu-mir-1941,0,0,0,0,1,4
mmu-mir-688,0,2,4,0,13,4
mmu-mir-196a-2,0,0,0,0,0,0
mmu-mir-615,0,0,0,1,0,0
mmu-mir-148b,0,1,1,0,0,0
mmu-mir-6963,0,0,0,0,0,0
mmu-mir-6364,0,0,0,0,0,0
mmu-mir-1945,0,0,0,0,0,0
mmu-mir-193b,0,0,2,0,0,0
mmu-mir-365-1,0,0,0,0,0,0
mmu-mir-6365,0,0,0,1,0,0
mmu-mir-484,0,2,0,2,2,0
mmu-mir-130b,2,3,3,2,1,1
mmu-mir-301b,0,0,0,0,0,0
mmu-mir-6366,0,0,0,0,0,0
mmu-mir-1306,0,0,1,11,0,0
mmu-mir-3618,0,0,0,0,0,0
mmu-mir-185,0,0,0,1,0,0
mmu-mir-1224,1,0,0,0,0,0
mmu-mir-7680,0,0,0,0,0,0
mmu-mir-8095,0,0,0,0,0,0
mmu-mir-6362,0,0,0,0,0,0
mmu-mir-28a,0,1,0,1,0,0
mmu-mir-690,6,3,8,24,6,4
mmu-mir-1946a,0,0,0,0,0,0
mmu-mir-1947,0,0,0,0,0,0
mmu-mir-6540,0,0,0,0,0,0
mmu-mir-568,0,0,0,0,0,0
mmu-mir-3470b,0,0,0,0,0,0
mmu-mir-3081,0,0,0,0,0,0
mmu-mir-6363,0,0,0,0,0,0
mmu-mir-5118,0,0,0,0,0,0
mmu-mir-691,0,0,0,0,0,0
mmu-mir-99a,5,2,0,0,0,0
mmu-let-7c-1,77,59,85,246,35,53
mmu-mir-125b-2,10,10,7,5,0,0
mmu-mir-155,0,0,0,0,0,0
mmu-mir-6367,0,0,0,0,0,0
mmu-mir-802,0,0,0,0,0,0
mmu-mir-6964,0,0,0,0,0,0
mmu-mir-692-1,13,50,56,356,72,40
mmu-mir-99b,0,0,0,0,0,0
mmu-let-7e,35,25,35,76,15,13
mmu-mir-125a,0,0,0,0,0,8
mmu-mir-5125,0,0,0,0,0,0
mmu-mir-5134,0,0,0,0,0,0
mmu-mir-6965,0,0,0,0,0,0
mmu-mir-3547,0,0,0,0,0,0
mmu-mir-6966,0,0,0,0,0,0
mmu-mir-3082,0,0,0,0,0,0
mmu-mir-6967-1,0,0,0,0,0,0
mmu-mir-6968,0,0,0,0,0,0
mmu-mir-3083,0,0,0,0,0,0
mmu-mir-7677,0,0,0,0,0,0
mmu-mir-7214,0,0,0,0,0,0
mmu-mir-7216,0,0,0,0,0,0
mmu-mir-7217,0,0,0,0,0,0
mmu-mir-7218,0,0,0,0,0,0
mmu-mir-6969,0,0,0,0,0,0
mmu-mir-7667,0,0,0,0,0,0
mmu-mir-6967-2,0,0,0,0,0,0
mmu-mir-219a-1,9,0,1,0,1,2
mmu-mir-219c,0,0,1,0,0,1
mmu-mir-6971,0,0,0,0,0,0
mmu-mir-6970,1,0,0,0,0,0
mmu-mir-6972,0,0,0,0,0,0
mmu-mir-6973a,0,0,0,0,0,0
mmu-mir-6974,0,0,0,0,0,0
mmu-mir-6975,0,0,0,0,0,0
mmu-mir-8094,0,0,0,2,0,0
mmu-mir-1894,0,0,0,0,0,0
mmu-mir-877,1,29,3,45,7,1
mmu-mir-693,0,0,0,0,0,0
mmu-mir-6976,0,0,0,0,0,0
mmu-mir-7b,10,0,0,1,0,4
mmu-mir-6977,0,1,1,0,0,0
mmu-mir-6978,0,0,0,0,0,0
mmu-mir-6420,0,0,0,0,0,0
mmu-mir-5709,1,1,3,0,0,11
mmu-mir-1195,0,0,0,0,0,0
mmu-mir-1893,0,0,0,0,0,0
mmu-mir-133a-1,0,0,0,0,0,0
mmu-mir-1b,0,0,1,0,0,0
mmu-mir-1a-2,12,4,1,10,0,0
mmu-mir-1901,0,0,0,0,0,0
mmu-mir-1948,2,0,0,0,0,0
mmu-mir-6360,0,0,0,0,0,0
mmu-mir-187,0,0,0,0,0,0
mmu-mir-6361,0,0,0,0,0,0
mmu-mir-1949,16,6,8,9,7,6
mmu-mir-6979,0,3,0,0,0,2
mmu-mir-6981,0,0,0,8,0,0
mmu-mir-6980,0,0,0,0,0,0
mmu-mir-1258,0,0,4,0,0,0
mmu-mir-6355,0,0,0,0,0,0
mmu-mir-5107,0,0,0,0,0,0
mmu-mir-7220,0,0,0,0,0,1
mmu-mir-6982,8,0,0,0,0,0
mmu-mir-6983,0,0,0,0,0,0
mmu-mir-378a,3,2,1,13,0,1
mmu-mir-145a,0,0,0,0,0,0
mmu-mir-143,0,0,0,0,0,0
mmu-mir-122,0,0,0,0,0,0
mmu-mir-694,0,0,0,0,0,0
mmu-mir-7219,0,0,0,0,0,0
mmu-mir-6356,3,0,0,0,0,0
mmu-mir-145b,0,0,0,0,0,0
mmu-mir-6357,3,0,0,3,0,0
mmu-mir-6358,0,0,0,0,0,0
mmu-mir-5127,0,0,0,0,0,0
mmu-mir-5112,2,3,2,0,0,2
mmu-mir-6359,1,0,0,0,0,0
mmu-mir-6984,0,0,0,0,0,0
mmu-mir-6985,0,0,0,0,0,0
mmu-mir-6986,0,0,4,0,0,0
mmu-mir-6987,0,0,0,2,0,0
mmu-mir-6988,0,0,0,0,0,0
mmu-mir-194-2,0,0,0,0,0,0
mmu-mir-192,0,0,0,0,0,0
mmu-mir-6989,1,0,0,0,0,0
mmu-mir-5046,0,0,0,0,0,0
mmu-mir-6990,9,2,10,26,5,2
mmu-mir-6991,0,0,0,0,0,3
mmu-mir-6992,0,0,0,0,0,0
mmu-mir-5136,0,1,0,0,0,0
mmu-mir-6993,0,0,0,1,0,0
mmu-mir-6994,0,0,6,0,0,0
mmu-mir-496b,0,1,0,0,1,0
mmu-mir-204,0,0,0,0,0,0
mmu-mir-1192,0,0,0,0,0,0
mmu-mir-3084-1,24,7,11,7,3,7
mmu-mir-101b,0,2,0,1,1,0
mmu-mir-3970,0,0,0,0,0,0
mmu-mir-107,0,0,1,0,0,0
mmu-mir-1950,0,0,0,0,0,0
mmu-mir-8092,0,1,0,2,0,0
mmu-mir-8091,0,0,0,0,0,0
mmu-mir-3085,0,0,0,0,0,0
mmu-mir-5114,0,0,0,3,0,0
mmu-mir-6405,0,0,0,0,0,0
mmu-mir-146b,10,2,0,0,8,16
mmu-mir-6995,0,0,0,0,0,0
mmu-mir-8090,0,0,0,0,1,1
mmu-mir-6407,0,0,0,0,0,0
mmu-mir-6715,0,0,0,0,0,0
mmu-mir-5623,0,0,0,0,0,0
mmu-mir-3086,0,0,0,0,0,0
mmu-mir-3084-2,24,7,11,7,3,7
mmu-mir-466m,0,0,0,0,0,0
mmu-mir-466f-1,0,0,0,0,0,0
mmu-mir-669f,1,0,0,0,0,0
mmu-mir-669e,0,0,0,0,0,0
mmu-mir-669b,0,0,0,1,0,0
mmu-mir-669d,0,0,0,0,0,0
mmu-mir-466f-2,0,0,0,0,0,0
mmu-mir-669l,0,0,0,3,2,0
mmu-mir-669d-2,0,0,0,0,0,0
mmu-mir-466f-3,0,0,2,0,0,0
mmu-mir-297a-2,0,0,0,0,0,0
mmu-mir-466o,1,0,0,1,0,0
mmu-mir-467c,0,0,0,0,0,0
mmu-mir-466b-1,2,1,1,3,1,4
mmu-mir-669a-3,0,0,0,0,0,0
mmu-mir-669k,0,0,0,0,0,0
mmu-mir-467a-1,0,1,2,2,1,0
mmu-mir-466b-8,1,1,1,2,0,1
mmu-mir-669a-1,1,1,0,1,1,0
mmu-mir-669g,0,0,0,0,0,0
mmu-mir-669j,0,0,0,11,0,0
mmu-mir-467a-2,0,1,1,2,1,0
mmu-mir-466e,0,0,3,3,1,4
mmu-mir-669a-4,1,1,0,0,0,0
mmu-mir-467b,0,0,0,0,0,0
mmu-mir-466c-1,0,1,2,0,1,5
mmu-mir-669a-5,1,0,1,0,1,1
mmu-mir-467a-3,0,0,2,0,1,0
mmu-mir-466c-2,0,1,5,1,0,4
mmu-mir-669a-6,0,0,0,0,0,1
mmu-mir-467a-4,1,0,4,1,1,0
mmu-mir-466b-4,0,0,2,5,2,2
mmu-mir-669a-7,1,2,1,1,1,0
mmu-mir-467a-5,0,1,2,2,1,0
mmu-mir-466b-5,0,2,2,3,0,2
mmu-mir-669p-1,0,0,1,7,1,1
mmu-mir-467a-6,1,1,1,3,0,0
mmu-mir-466c-3,0,2,4,0,1,3
mmu-mir-669a-8,0,1,2,0,0,0
mmu-mir-467a-7,0,1,1,0,0,0
mmu-mir-466b-6,0,1,1,4,0,4
mmu-mir-669a-9,0,2,1,1,0,0
mmu-mir-467a-8,1,2,2,3,1,0
mmu-mir-466b-7,0,2,4,3,1,4
mmu-mir-669p-2,0,0,0,7,0,0
mmu-mir-467a-9,0,0,1,1,0,0
mmu-mir-466b-2,1,1,3,2,1,3
mmu-mir-669a-10,0,0,3,0,3,0
mmu-mir-669a-11,1,1,1,1,0,0
mmu-mir-467a-10,0,1,1,2,0,0
mmu-mir-466b-3,1,1,0,4,0,5
mmu-mir-669a-12,2,1,1,0,1,0
mmu-mir-467e,3,0,1,1,0,0
mmu-mir-466p,2,2,3,2,2,4
mmu-mir-467d,1,0,0,0,1,0
mmu-mir-466a,1,1,6,1,1,2
mmu-mir-297c,1,0,5,0,1,0
mmu-mir-669c,8,4,7,82,0,3
mmu-mir-669a-2,1,1,2,1,0,0
mmu-mir-297b,1,0,2,1,1,0
mmu-mir-466d,0,1,0,1,1,0
mmu-mir-669m-1,0,0,0,0,0,0
mmu-mir-669m-2,0,0,0,0,0,0
mmu-mir-466n,0,0,0,0,0,0
mmu-mir-669o,0,0,1,4,2,0
mmu-mir-466g,0,1,1,0,0,0
mmu-mir-466h,0,0,0,1,0,0
mmu-mir-297a-3,1,0,4,2,2,0
mmu-mir-466l,0,0,0,0,0,0
