"","Norm_BV2_control_1_cell","Norm_BV2_TGFB_1_cell","Norm_BV2_IL10_1_cell","Norm_BV2_LPS_1_cell","Norm_BV2_control_2_cell","Norm_BV2_TGFB_2_cell","Norm_BV2_IL10_2_cell","Norm_BV2_LPS_2_cell","Norm_BV2_control_3_cell","Norm_BV2_TGFB_3_cell","Norm_BV2_IL10_3_cell","Norm_BV2_LPS_3_cell","Norm_BV2_control_4_cell","Norm_BV2_TGFB_4_cell","Norm_BV2_IL10_4_cell","Norm_BV2_LPS_4_cell"
"Ptov1",23.66830444,14.39368248,14.64378357,15.77353668,22.68164444,25.31955528,24.37692261,23.67484665,22.50789833,23.19330597,16.03619766,28.98897934,14.42729568,14.37456417,14.93528557,15.17518711
"Psmc4",18.14767265,16.03812027,14.52534771,19.21851158,19.91536331,14.96528244,17.62605286,17.64395142,18.55997658,12.37385178,14.75623322,15.79875374,16.21814537,14.21123886,15.65311718,15.43470001
"Cd81",19.11264992,19.64870262,20.65773773,15.41747761,17.9503231,21.31878853,20.40752602,20.73551178,18.77855682,20.90957642,15.08172131,17.66090393,21.03691292,19.74478531,15.83717155,20.59693527
"Rpl9",17.91190529,19.18685341,17.58915138,20.05571365,17.61651802,15.21337223,17.49084282,18.86854935,18.90393829,15.47584152,17.97240067,16.30589104,17.45596886,17.97367477,19.7579422,18.81733513
"Taldo1",15.04061604,18.9010601,15.4939146,17.95707703,16.04327965,15.49211693,13.73321152,15.88095665,17.64312935,14.01510239,14.78619289,15.39692593,15.00290203,15.32161045,18.1991291,14.11119652
"Ldha",20.43544006,22.33732605,22.89564896,22.34601212,19.39853477,20.8044529,20.65367889,21.83624458,22.42509651,19.18982697,21.29507065,19.95142937,21.93205643,20.31273079,21.32959366,21.20704651
"Rpl18a",20.42843056,20.67104721,17.94434738,19.82956886,19.97995567,14.33256817,17.88882256,19.33270836,19.02791214,13.56991005,14.42570019,16.94655228,15.43173313,12.39347076,16.42277145,15.76865673
"Rps25",17.87955093,19.79528236,17.70945549,19.02732086,16.34415436,15.9382267,17.71854401,19.0318203,18.27196693,15.11047554,17.96463013,18.54477119,14.58502197,12.93464088,15.83426952,20.35292816
"A0A1L1SQX6",18.5045681,18.55255318,17.4448719,19.25474358,18.08704758,13.94971848,15.23344517,16.88932991,18.60904694,11.83782864,13.6658392,16.90420341,15.75761223,13.18842793,15.47166824,18.23931122
"Cep295",18.16026497,19.23127747,18.96123314,18.95975304,13.41576576,16.43684006,18.48525047,19.50979042,19.30112076,17.23878098,19.182127,17.37888336,19.36937714,18.15542793,19.62567902,18.53354454
"Atp6v1b2",16.12422752,18.80063438,18.11510658,20.40702629,17.17735291,15.16726398,15.90429306,17.82972527,18.83786964,13.89092064,15.72704124,16.39610481,16.06278992,14.70130539,16.12218285,15.06437969
"Uba1",18.83359718,18.20957375,17.53671074,19.85837173,19.34919548,15.31376171,16.25670052,18.33333778,18.79175568,13.06408691,17.70445251,16.13752174,16.52409172,15.15745831,15.6897459,18.50475883
"Hist1h3b;Hist1h3e;H3f3a",22.84949875,21.72862434,21.36042213,21.97812653,21.89252281,21.23314095,21.22451973,21.56999016,22.63208008,18.86348343,19.17295074,20.34589195,15.07091618,19.58759308,22.00366974,19.56819725
"Cd63",18.78532982,20.48818588,21.61006737,18.57669258,16.95343971,19.00395966,19.1488018,19.22403145,17.5445137,20.86756516,14.29671764,17.4160099,20.86822319,18.64738083,19.69535065,19.20861244
"Tbca",16.84485435,17.69232941,18.08185005,18.36214447,14.13287067,15.05478191,17.86381721,18.98297691,18.2191658,16.38783646,14.9989872,16.50275993,15.80034256,14.55415726,15.23397923,15.98840141
"Rps24",16.14134979,18.28409767,18.02523041,19.41394043,17.42556381,14.80517483,14.96614552,18.79642296,19.22619629,12.29311085,17.71496201,13.29983521,15.49129868,14.98493862,17.95564651,15.00759697
"Anxa7",16.56818199,17.86295891,16.01905251,18.24681664,16.15133667,15.07930183,14.21986961,16.26448822,18.41656685,12.33724213,15.08676624,16.73934937,16.60862541,16.23522186,15.11865616,18.69717789
"Rpl36a",18.18334389,19.96704483,16.95471764,18.1599102,15.38673592,15.00010204,16.91254997,15.42219925,18.7815094,15.45112038,16.73756218,15.39569283,15.94622898,17.45764542,14.57246113,15.55725384
"Rpl30",18.43076515,18.60050964,17.99428558,19.72907257,17.79421997,14.16167068,17.34483719,18.89234352,19.80057526,16.28256989,18.53755188,16.78861046,18.49412727,17.27693939,18.89485359,14.66550255
"Ube2l3",16.04990768,19.45191002,18.01039314,18.93073654,14.05215454,16.62090111,18.12753487,19.19770241,18.9941597,15.4548769,15.45748138,16.63661385,15.16257191,14.2383337,19.07456017,14.74848461
"env",21.77200699,15.37608814,17.91056061,16.16949844,21.50224686,18.89005852,18.36071968,17.90770912,16.36437607,17.78837395,17.50358963,15.96126938,20.26495171,18.18941879,18.1412487,14.44138527
"Rpl10a",18.56462097,19.66117859,18.43260956,19.38945389,18.26494217,18.01622772,17.66387177,19.33912086,19.01761818,16.36982155,17.61301422,16.10702896,15.83747005,16.89063072,17.34271049,17.61367989
"Khsrp",16.97000885,19.2211895,18.49862862,18.88376236,14.11951542,20.80779076,16.00669861,19.3892231,17.84345245,12.56554604,19.50267982,17.63871956,19.09347343,18.61743546,19.03641891,15.05886173
"Cdo1",20.40387917,15.26672173,14.85975266,18.23822975,19.29902458,14.0604496,15.59516525,19.66415787,18.55476189,12.49231339,19.13477325,18.3510704,19.83086014,17.85636139,14.97979736,15.09528255
"Colec12",14.13930798,17.27892303,13.94720745,15.691082,15.10104752,14.60872269,16.83556175,16.94109917,16.89119148,17.88462639,14.46725464,14.9875145,15.6768074,14.65086269,15.39321613,18.8405571
"H2-D1;H-2D;H2-L",16.98225021,17.01469231,16.70841789,17.96385193,16.13558388,17.37218094,17.24108696,17.77524948,17.72779846,16.28671265,14.99295521,17.65450478,19.2437191,15.66434383,14.6231451,19.41739273
"Add3",18.38637733,18.3742485,19.15056229,17.95327187,13.09756374,14.67117405,16.44596863,14.88317585,18.527174,12.67051506,18.16040611,13.14429951,14.63413906,17.85416985,15.26097393,18.58103371
"Fau;fau",15.05860519,20.01435471,17.72535896,20.3608036,13.77084446,17.19682693,17.24027443,18.99942589,19.76023674,14.6903019,17.80723572,16.16525269,18.05244446,15.00959301,18.17225075,15.46593189
"Actr1a",18.64643478,18.46446419,17.96201897,18.60698318,18.45620537,14.57787704,14.93943787,19.36945534,18.44374466,16.02222633,18.29446411,17.26192093,16.86445427,14.06810284,15.49925518,19.10526085
"Nars",17.84152794,19.23298836,18.16706848,19.61393547,18.12603378,16.73081589,17.02876091,19.26475906,19.16156197,16.21444893,14.73926067,17.71302605,14.22110939,15.38655472,16.89942169,19.42228127
"Hist1h2bh;Hist1h2bj;Hist1h2bc;Hist1h2bm;Hist1h2bb;Hist2h2bb;Hist1h2bp;Hist1h2bk;Hist1h2bf;LOC665622;Hist1h2br;Hist2h2be;Hist3h2bb;Hist3h2ba",22.78632545,22.79049683,22.05052185,22.99077225,22.63433647,21.40129471,22.20780754,22.39340782,22.9695816,18.30761719,21.99794769,21.05531311,21.76293945,20.7144146,21.95931244,21.91828918
"Ddx5",17.76810265,18.24310493,16.03713989,19.11912537,18.16494751,15.78966236,15.68304062,15.31237602,17.37210083,16.01064873,15.93817139,15.93386269,15.52184772,12.91390228,16.45849228,16.09729004
"Rpl19",17.57399178,20.08455276,19.05830002,20.00537872,12.96089172,16.04586792,19.06520844,19.47268105,20.50724792,17.25203323,18.6973362,16.94265938,20.05848503,17.97024345,19.01190948,18.59490776
"Eftud2",24.10124779,20.06526947,22.40830421,20.539505,21.86437225,23.23706627,21.63927269,22.02823067,20.65688324,21.19029617,23.05555725,20.22674179,15.66554356,22.24603081,23.26239204,22.84089661
"Hnrnpa3;Gm6793",16.58802223,19.79666519,17.78808022,19.64958382,15.38652515,16.72762871,17.70203781,17.48325539,18.81271362,16.13109016,18.26599312,16.15948868,15.17740059,15.25315571,17.27090454,14.34692001
"Cd44",17.3302803,17.0338192,18.07704544,16.59095001,16.86628342,14.64375496,17.55655098,16.29100227,16.17632866,16.34417343,15.08049011,17.36194038,19.28048706,14.2805233,14.91314316,18.7743969
"Set;BC085271",16.42287064,20.76399231,18.5408268,20.79347992,15.290452,19.59089279,16.90504456,19.04305649,21.51268768,15.91046333,18.85311699,16.01971054,14.83564949,16.05164719,19.48955345,15.28688908
"Zdbf2",23.01370621,22.97277832,21.05826569,24.72701454,23.87024117,23.18777084,23.03684998,21.60389137,24.90634346,18.7980442,24.22027588,19.01922226,20.94458961,23.96116257,22.94378662,21.73973274
"Clta",20.6292305,20.12277794,19.93851662,19.97559929,20.47333336,20.96716499,19.92060852,20.59937477,20.50761986,18.49537659,19.20547676,18.20199013,21.26245499,19.16207695,20.16223145,19.19987869
"Rpsa",21.18511391,20.4832077,18.8192749,20.61784172,21.4462471,17.81529999,17.48962784,19.57814598,20.63913345,17.17045593,20.04493904,17.83641815,16.65472031,18.29414749,18.55512428,19.79206848
"Dip2b",16.81355095,19.45654678,20.7656765,18.58868408,17.90779686,19.9565773,19.5500412,20.51038361,17.96668053,19.64403152,14.26471424,18.22836494,22.21622658,18.62385178,19.40753746,19.63215256
"Epb41l2;Epb4.1l2",13.25331783,18.45966148,18.42848206,18.2083416,15.55378532,20.35660172,19.53459358,19.96899223,17.86418152,17.1932869,14.71665001,16.1883564,15.95370388,14.65458202,19.48515129,18.98582268
"Flna",18.39142418,19.1012249,16.76997375,19.84124374,19.22918701,15.13111115,16.6143856,16.99736023,19.24992943,15.39146996,17.02376556,17.01456833,15.30167389,15.55413246,15.53780365,14.72774887
"Anxa1",14.73939037,17.46957588,16.84402657,18.7697525,13.67934418,14.92060566,17.02456856,17.04022026,18.20414734,15.04756165,16.70105743,14.66801929,17.23714256,16.13544846,16.43535995,16.9406929
"Nap1l4",15.6771841,16.04876518,17.01817322,16.82534409,16.50036049,15.34229088,13.33485794,15.40105629,17.15148544,17.20415497,15.19846821,16.41721916,15.5286417,12.52766514,15.57137775,15.2569685
"Hnrnpa2b1",19.10080147,20.95912743,19.94346046,20.85803795,16.77833366,15.49758053,18.00358582,18.10507011,20.93719482,17.19445229,18.70991898,17.21289444,17.68960381,17.94695091,18.81712341,15.06982327
"Ddx3x;D1Pas1",15.55359268,17.21254158,15.91805935,18.78112793,16.37743568,13.41127491,16.95545959,16.20525742,17.70153999,14.03761482,15.44414234,13.18512535,15.11225891,15.01848793,16.5710144,15.36876392
"Rap1a;Gm9392",18.59181023,18.81736183,19.85497093,17.60260963,16.53890228,19.70863152,18.93795776,19.91622734,18.35122108,18.04423141,18.08088493,18.26996994,21.38457489,18.08620644,18.95471573,20.04606819
"Rps19",18.22805786,20.26152992,18.50682449,20.78262329,16.65337753,14.88067341,18.24068069,18.41305923,20.71595192,15.62739277,20.44809532,16.7121067,14.99314499,17.39886475,19.87932396,16.10766029
"Mov10",17.62261963,16.79595947,18.1478653,17.379076,13.13488579,14.92816925,17.97828674,15.47035789,18.1239624,16.91233635,14.4020586,16.46699715,20.22436333,13.0485363,14.79223442,14.7436409
"Qdpr",14.14441776,15.6159153,17.01253128,16.4175415,16.58806419,15.46297836,14.5255537,20.03884125,16.33627319,12.23486233,18.57108879,15.67374516,14.95158672,13.02769184,13.94251633,17.25840187
"Rps5",18.05564117,19.02083969,17.45637321,19.89360809,18.38189316,14.4404192,16.78144073,18.26101303,20.27642059,14.40782547,18.08537674,16.88658333,13.61400509,12.82866192,14.64763832,18.18289566
"Acsl1",14.22300053,16.59707642,16.59838486,17.39663696,12.88230324,14.00036526,15.83256817,17.18177414,17.30232048,11.35883617,14.75560284,14.51873779,15.86763,14.04259682,15.54462337,15.11513901
"Eif4g1",19.78242111,17.23838615,15.93416309,18.027174,15.4308157,14.683424,17.68659973,18.57885551,18.68192101,17.43402481,17.91023254,16.82242393,19.25883102,18.75104332,18.30382729,18.9493866
"Usp14",16.6414566,17.19961357,17.01789856,18.32733727,15.87479782,14.74608612,15.67134476,16.13195038,17.75325584,11.48040485,15.69874287,14.99045086,15.64329624,14.04875946,15.86985111,14.16190243
"Cadm1",14.14080238,17.44911003,19.21321106,17.80021477,14.46768188,15.10137558,18.49414444,16.44166374,18.28167343,16.9289856,14.77874088,16.6603775,19.55495262,15.29132843,14.33431625,15.07412338
"Psap",17.61143494,19.88925934,18.48015022,20.33046722,16.19559479,16.72830582,15.52013969,17.96227264,20.06944084,16.56973457,18.85881424,16.1365757,16.99997139,16.01698685,18.629673,16.75347519
"Gm20390;Nme2;Nme1",19.63692474,22.82787132,19.34992981,22.21500015,16.7784214,19.68800926,20.28780937,20.62256622,22.14020348,17.61920357,20.54620171,18.13314056,18.48683548,19.79745483,20.72351074,19.50952148
"44811",16.50710487,17.04793739,18.65674591,18.20572281,17.21505547,13.98865986,16.96544266,16.55387306,17.48518181,16.12874031,13.35861492,16.8621769,14.39668751,13.26946735,15.37186146,14.50588703
"Apob",19.0661869,15.5330143,15.20485497,16.59164047,19.17160416,19.38823509,14.53355789,19.58249855,15.20319748,18.21715546,15.16161442,17.5318737,20.00216103,19.29750824,14.51998615,14.78749847
"Psmd13",16.11732864,17.95727539,16.00209808,17.63256264,15.59015369,14.64984512,15.00319767,16.06240273,16.91023064,11.98465347,14.88771343,15.06425858,17.27894402,14.17949486,14.17414951,15.85973358
"Itgam",14.5590744,15.95843792,18.38344955,16.63973618,16.37802315,17.11346626,16.85776329,15.30788708,16.29838753,16.67193985,14.90016079,12.95219135,19.47263718,16.67301941,15.31286812,18.27626228
"Ahnak",16.95051384,21.2038002,18.78969002,20.92565155,12.6237669,18.60000229,18.87247276,20.07625389,20.6780529,16.67420959,18.96561241,17.12245178,20.47220993,17.84757614,19.89559364,18.09227753
"Dst",13.96963024,15.19240665,14.63747883,26.3390255,25.22004128,28.90623283,29.20815849,26.2323494,25.67659569,29.56557846,28.17721176,28.52179909,27.53818893,29.45680809,28.39787674,29.08323669
"Nop2",16.21874046,14.61336803,14.91074562,16.72009277,17.16950226,18.612463,18.4777565,17.0022583,16.51132393,16.99821281,18.68077087,16.91715431,14.64981937,17.8562088,16.18908882,15.74918365
"Dhx9",19.58082771,18.92229271,16.92061806,19.46508217,19.4619503,15.45168972,13.57607651,16.02805519,19.28514481,12.8602953,18.56180382,15.7967186,17.47240257,14.38704491,16.52000999,19.50101471
"Spock2",13.33735085,23.13484955,18.16173363,18.42771912,18.56560135,19.07318497,18.70659065,20.01709938,19.856987,13.46169949,19.38130188,13.90535927,14.62494659,18.62184525,14.87170792,19.59427261
"Rps12",18.50760651,20.12720871,19.04011917,20.16585159,17.23892212,15.11377907,17.38642693,19.87132835,17.71730042,16.32225609,18.97233391,16.58753395,14.89795303,13.55639648,19.25756073,19.02671432
"Ahnak2",17.85590363,21.05828094,19.06884766,21.7811718,15.86292934,14.34733009,19.06413651,20.00773621,21.63868141,17.71619606,19.93592644,18.25940323,19.09948921,18.57452583,20.26401901,18.46568298
"Copa",17.27191353,16.77869225,16.62835121,16.6646843,18.35633659,14.4187851,15.31412888,15.83208275,16.63835907,15.32833481,15.55352688,16.08325958,15.63286591,15.89166355,16.70464325,15.35323238
"Atp5j2",13.93321609,19.76018715,18.03971291,18.82110596,14.25660992,14.76549435,17.44060326,18.37750053,18.66265678,15.74022198,18.30675507,15.88759518,16.4864502,17.56773186,18.23482704,14.5538044
"Spp1",17.39620781,18.8537674,17.20641708,18.25332451,17.76528168,21.32083511,19.69168091,15.81068134,17.82973099,19.49610138,15.05887413,13.87633991,15.11774921,17.31040764,18.72212982,15.00022602
"Serpinb6;Serpinb6a",13.85909462,17.75936317,17.40320015,18.50551224,15.72991753,14.70725918,13.9402523,18.27104378,17.80455208,14.78478527,14.40407562,16.3074894,18.15506935,14.22399426,16.3003006,15.17360592
"Dnm2",20.51448441,15.58747673,17.13373566,16.89554405,16.15367126,14.95878887,14.81599617,15.59779644,17.25306511,15.58142662,15.87776947,14.94847298,15.21503162,12.03965187,14.48876095,14.94166088
"St13",16.41128349,18.26220703,16.90690041,18.85830498,15.92109394,14.53838348,13.62015533,16.19551086,17.93299675,11.36488819,14.84966183,15.48269081,18.47870064,14.82612038,14.34471703,17.22545242
"Vdac2",14.70504189,18.64650726,18.79943275,20.43614578,11.88600826,14.15637302,16.98175049,16.79172325,19.50380135,16.46994209,17.46311188,13.86075687,14.28861141,15.75482368,16.8300209,15.84962559
"Olfr112;Olfr113",20.31930733,19.39199829,13.92507267,19.04348755,19.95310593,15.8609581,13.56822872,19.87161636,19.43941498,11.40009117,19.34259415,12.70841122,15.72671318,13.75658798,19.25155067,18.92227745
"Prps1;Prps2;Prps1l3;Prps1l1",16.50741959,18.12082672,17.3318367,17.66083336,16.68448257,15.23226547,17.18030357,15.78099728,17.53180885,15.76318073,16.80523872,15.5285244,18.14097786,14.21820736,18.30290413,16.11693764
"Pabpn1",17.59840393,19.77555275,14.08069897,20.6794548,13.51664066,13.5233717,14.2599659,20.88540077,21.1972084,15.84835815,19.84746933,17.84493065,20.03334808,13.53015327,20.0615406,15.73864746
"Rps28",17.0788269,19.81820869,18.50604057,20.3797493,17.39338684,15.26119804,17.57408142,18.51646233,20.35301399,15.58002567,18.31533432,16.50847626,18.42677116,13.57808495,18.91930771,16.27672005
"Bicc1",19.24550819,20.9977932,21.14879036,20.3423214,18.88896179,20.52502251,20.17745018,20.90841293,20.98119926,17.59094048,21.20660973,19.44107819,20.62508774,13.5740099,15.08136082,20.52323914
"Ctsa",13.62135315,20.20822716,18.78663063,20.40371513,15.41304207,18.31615448,17.55727768,19.21826744,19.79482269,16.94158363,18.49225998,16.72506714,18.42612076,17.43252182,19.2205143,15.24351025
"gag-pro-pol;gag-pol;gag",25.34341431,20.86151505,23.99642944,19.30489922,24.11395645,24.79960632,23.99774361,24.7580452,21.58728981,24.06136703,21.57566452,20.43040466,27.24390411,23.50332069,22.52407265,21.9020443
"Hnrnpl",16.49490738,19.97382736,18.262743,19.533041,20.76151657,14.64704514,17.36071968,19.24739456,19.59389496,16.83069229,17.58393669,16.22967339,15.47165394,18.0554409,19.53206444,19.02320862
"Esd",17.86001968,20.03901863,17.64144707,21.22854614,19.30329895,13.94392967,17.38773346,20.045084,21.17889595,17.25829697,19.60566902,18.60694504,16.34460449,16.08081055,17.05849457,19.22020149
"Srsf1",14.79181194,18.43459892,16.45373535,19.22092628,16.04041862,14.3228054,15.63410854,18.84747505,17.98501015,13.3122654,17.3571701,11.96178436,15.61569118,13.69050789,14.50858498,13.55021477
"Rpl10;Rpl10l",18.7517128,19.29288483,16.90999794,20.22136688,18.98726845,14.5639925,17.86534119,17.49510574,20.23350716,13.36102676,15.90869808,12.80275822,17.70744705,13.16532421,17.90756416,15.02685356
"Adssl1",13.85478497,16.62260246,16.42915344,18.69906807,14.97405434,15.0275526,14.2328558,15.66269779,17.36511993,14.70292187,16.11434555,13.43293285,16.6518631,15.54738617,14.88403034,15.33659649
"Bsg",17.61790657,15.10537338,22.21165848,16.4442749,16.55010033,19.18102455,18.13275337,18.72364235,16.57179451,17.11886597,14.46767712,16.49310684,14.95420265,14.20781994,18.37978554,14.29280281
"Prdx6",16.07587814,19.15345955,17.74300194,19.86705017,14.83852005,15.70569992,16.96751976,17.82316208,20.01946068,15.48158169,17.28195763,16.28289795,17.35097504,17.0297966,18.57654762,16.31001854
"Prdx4",19.61887741,21.1187973,19.9730072,22.28298759,17.56053925,19.10482597,18.77474976,20.80706024,21.80439186,17.88998032,20.63199234,19.11564827,20.57800102,15.02521515,15.77502251,18.57158661
"Sdcbp",20.35972404,21.54161453,23.21479034,14.21834564,18.57784843,23.00869942,22.54018784,18.30381393,16.32967567,23.13217354,17.35551834,19.66036034,19.99957085,22.28287125,19.34619522,18.576931
"Atox1",14.33097649,18.66384125,19.32074356,18.93899155,12.60425663,15.06797695,19.30097389,19.61187553,18.41128159,17.08209801,18.97172737,17.21132278,16.01788712,18.53775215,20.25137138,15.5596056
"Psmb1",17.24186325,17.97440529,16.7980175,19.19168091,17.50386238,16.16943359,14.83800602,19.55424309,18.37400436,12.81531429,15.40034294,15.39564514,15.84712505,13.98383141,14.28958321,15.3781147
"Gsto1",15.43962193,19.95558929,18.94846153,20.92597008,15.94479084,18.35066223,14.3888073,15.55509949,19.90534782,15.6450367,19.15931129,17.00033569,15.20739841,12.96931362,16.35684967,17.18948746
"Rpl21",18.33995056,19.84886169,18.67893982,19.86203575,18.24415016,18.33246994,18.2059803,19.77685547,18.93299675,15.49475098,15.46219063,13.98959255,19.06658936,13.63057995,15.68315601,16.33427048
"Anp32a",17.04978561,18.60439491,16.50324821,18.83764458,16.06962585,15.08635902,15.03784561,18.57339096,19.72786331,13.59387875,17.94003296,13.63660717,14.90642071,14.21457863,15.61284733,15.32482719
"Exoc4",15.16155434,16.16704369,16.81391335,15.35325813,14.72896004,14.09956551,16.50422668,17.69517136,15.54395771,15.17038822,14.23431969,15.15547657,15.38835335,13.97533512,17.96248245,14.82051182
"Anxa3",15.46932411,17.12428093,16.79298592,18.8690052,13.49795341,15.88827515,15.35014057,17.00161362,18.1041832,13.28364658,15.17447948,16.24538231,15.86509323,13.85141182,16.50423241,15.40429306
"Hnrnph1",15.53914738,18.00683975,17.07763863,19.23100853,16.3393364,14.2815733,16.73088074,16.52667236,18.84270668,15.33847618,15.0127039,13.13345623,15.86975956,14.16735172,15.5898819,14.71811485
"Eif6",17.16706657,17.20693588,16.54038811,18.0911274,16.86175346,15.3423233,17.1167469,18.45734978,18.19137573,15.06350422,14.25975895,15.9945507,17.71030426,13.58848572,15.15234947,18.76834106
"Rpl35a",18.81533813,22.39784813,15.3537817,19.29421234,18.8436451,14.75948524,13.52557564,18.64645576,18.55648613,12.83936787,18.65345955,13.26909447,15.90006161,13.86523438,18.53468895,15.54771137
"Ncf2",16.73558235,17.76349449,14.6145792,18.7480278,16.02663803,14.79069042,16.6407795,15.07758999,18.50506592,14.86103725,13.79967594,15.67765331,18.18877602,13.44922352,14.52121067,18.40487289
"Eif3d",19.62293053,18.9933548,15.3040657,19.08612442,19.92061424,13.8936224,15.13500595,19.86189842,19.88711166,16.65081024,18.90296745,16.3132782,19.79221344,17.88425064,14.33598232,19.49803925
"Eef1b;Eef1b2",17.9691391,20.49602318,18.90094757,20.53544235,18.51038742,17.68607521,13.54184437,18.83809471,20.48251343,15.82812119,19.0786953,17.10900688,14.47696495,17.54743576,18.49697304,17.8646698
"Rps14;rps14",19.88867188,20.59216881,20.34900093,20.43099594,18.87615013,19.57276154,18.51912689,19.69921684,19.93483925,17.31611252,19.32723808,12.63992023,16.19776535,16.11443138,18.57928276,15.39527416
"Wdr1",15.54008579,17.61797905,17.96736336,18.47050476,16.19252586,14.97043514,16.37572289,18.21489716,18.43876457,16.39552879,15.21929646,16.37025642,17.57544136,13.38306713,14.46555996,15.15241528
"Tom1",17.49484634,18.54332924,19.00517082,18.30338097,11.73662949,19.62254524,14.91607571,20.25024414,19.35741806,16.64052391,15.01806641,16.42235184,20.63197708,18.02925491,14.96308327,15.36512661
"Idh1",13.96890545,17.62866974,16.21348763,19.19865417,13.70653725,14.11418629,13.06013203,17.31367111,17.86526489,13.39072895,15.76743126,14.35181713,14.92337227,14.87398911,14.56245613,15.08880615
"Gnpda1",13.10043049,19.58984375,18.03984833,18.89733124,13.51287556,14.69681549,17.8148365,20.15320015,19.41035461,12.23482704,19.38388824,13.92946815,18.06885338,14.52461147,14.58107948,15.00805187
"Lgmn",14.98980141,20.51815033,17.65467072,20.14152718,14.96823025,17.76421165,15.30989456,18.5633297,20.48955154,15.97058868,19.03548813,15.29478836,15.78407001,13.60272694,18.47514534,15.64959908
