"","BV2_control_1_cell","BV2_TGFB_1_cell","BV2_IL10_1_cell","BV2_LPS_1_cell","BV2_control_2_cell","BV2_TGFB_2_cell","BV2_IL10_2_cell","BV2_LPS_2_cell","BV2_control_3_cell","BV2_TGFB_3_cell","BV2_IL10_3_cell","BV2_LPS_3_cell","BV2_control_4_cell","BV2_TGFB_4_cell","BV2_IL10_4_cell","BV2_LPS_4_cell"
"Tnpo1",17.02030754,17.30999184,17.11471748,17.60718536,17.14668846,17.49005127,17.66240501,17.52244377,17.40174675,18.29171944,16.81678391,18.14937019,17.68947983,16.82761574,17.05324745,17.35767174
"Erlin2",17.84291458,15.90919018,17.39163017,16.5865612,17.2749424,16.32351303,16.37566757,17.53799248,16.47891235,16.70171165,18.18214226,16.05003929,15.98846245,16.95060158,17.16241074,16.15853119
"Pld4",16.0367527,16.75054932,16.60769081,16.72786713,16.52947617,17.01508904,16.66219521,17.46738243,17.22693825,17.13520813,16.90571594,17.25746155,16.51810074,16.96769905,16.18561172,16.79956055
"Enoph1",16.01759148,15.28207493,15.4995966,15.11027908,15.73830318,15.49763393,15.63591671,15.28561878,14.33783054,15.37065315,16.08563805,15.38407516,15.3367157,15.69873142,16.12327194,14.83209896
"Mak16",14.72563267,14.74897861,14.93548775,14.5424881,15.3033886,14.23750877,13.66600704,14.73555565,13.88493347,14.53512096,13.94941521,14.33392811,13.69573879,14.87553787,14.32310772,14.73052311
"Bola2",17.31725311,15.93359852,16.40344429,15.94875526,17.60110283,15.7964201,17.41253662,17.92218971,16.98548698,16.85416222,14.83535957,16.56331635,15.47570133,17.0055809,16.6617775,16.16929817
"Gpt2",16.8476944,16.74819374,15.5747118,16.39675522,17.41336441,16.00987244,18.18204498,14.69854164,14.82764053,14.85394287,14.95864296,16.88619614,18.05138969,17.02712822,15.87046146,15.93140697
"Ccny",15.63103485,16.25436401,14.34698391,15.25705624,15.41570854,15.67950726,15.07819271,16.37339211,13.4326601,15.9180479,16.41283417,15.74520206,15.93521118,16.32767487,14.57222939,15.44090176
"Trim23",15.14879417,16.07552147,15.66161156,15.14078999,16.00650215,16.25624466,16.71263504,15.5899725,16.05555725,15.55281925,17.68305016,15.54269981,15.10357475,16.77840996,16.42007446,14.92035294
"Tm9sf4",16.64849854,16.82538033,16.67120934,17.18350029,16.57124901,16.63636971,15.38093472,18.85808372,16.55708885,18.09037018,16.16565323,17.24599838,14.22320938,16.31642342,15.07543755,17.03767586
"Tiprl",14.86887074,14.10294724,14.92898083,13.95321941,14.68584347,14.73582077,13.4560976,16.09230232,14.95528698,14.09309578,14.94548988,14.27006626,14.57701588,14.45917511,16.11469841,14.81427383
"Slc25a12",16.04889107,16.49682236,16.16380692,16.71182823,15.6909256,16.4828701,15.60284424,16.95832634,16.33579254,16.51352692,16.94226265,16.60992813,16.25305367,16.17074585,16.11705399,16.06040001
"Vapb",15.89268494,16.20252609,17.61237907,16.1807251,16.89474678,16.87699699,19.46517181,18.36721802,18.52470207,18.26901627,18.28120613,15.94407177,15.88414669,17.77487755,18.12580681,17.08493233
"Echs1",17.64427948,19.46277809,18.6022644,18.3395195,18.50381851,18.52795029,17.53602028,18.10901451,18.32078362,18.88804245,18.95330429,18.36837006,18.32676315,18.72780037,17.97807312,18.05822372
"Wdr3",15.69541836,14.69609833,15.50307941,14.76663208,15.79905415,14.0401535,15.07288647,17.14837646,15.27175522,14.69430351,14.66730213,15.0133667,14.07814026,14.40852833,14.71937847,14.04336929
"Elmo2",14.94695187,15.85233402,15.34256077,15.64134598,15.84480381,15.7280798,14.99510479,16.07288551,16.02197838,15.88910007,16.93272209,15.98777485,15.86471844,16.0700798,16.18008423,15.32656956
"Ganab",19.06479073,18.10328865,19.36525536,19.09697151,18.59339142,19.09609795,18.61608124,18.00618362,18.59841537,19.41746902,19.40453529,18.16167259,18.5661068,18.34459877,18.74983025,18.76972198
"Fam49a",17.69703484,16.70563316,18.12075424,19.35453415,17.8688221,16.74924088,16.01933098,18.61108208,17.52167702,16.69207001,18.94991875,17.53062057,17.00041771,15.65586567,17.73377037,18.62528038
"Prune",14.18229103,15.16792774,14.21181393,13.89822388,14.93424416,15.25044632,15.17765331,14.93564606,15.36843872,13.33695412,14.51681709,15.29573345,15.36177254,13.60309887,15.89066792,13.44417286
"Nup93",18.20810127,16.50208664,17.70353889,17.69906998,17.92108536,17.86912346,17.38894272,18.00607491,17.94786453,16.94581032,19.23437309,17.85355377,17.36751747,17.54321289,17.08462143,17.107687
"Slc41a1",16.47270584,15.72278118,15.38475037,15.21017647,15.27859497,14.97508621,14.30705547,14.33901501,15.00606346,13.94654083,14.27706814,14.86493587,15.78746891,14.99298286,13.78921223,15.03385353
"Eif2a",17.0481472,16.32551575,16.47671509,16.28384781,17.89267349,16.413908,16.3656044,16.79652214,17.17064857,14.53649044,17.70286179,16.83219719,16.03909111,17.49700928,18.7729454,16.2747612
"Psmd5",15.76849461,15.90114975,15.57145596,16.40066338,16.20724297,15.77653599,17.0792141,16.81465721,16.86423492,15.6633358,17.24274635,15.68589878,15.99207497,16.87267494,15.69661427,15.03784752
"Prpsap2",15.67537785,14.81743336,15.29300499,15.31309605,15.52723217,15.56970692,15.7923584,15.31071949,15.6132431,15.53952217,16.01537132,15.69201565,15.37065315,15.37238884,15.32460213,15.2469635
"Rcc2",17.8005085,16.9524231,17.21361732,16.43340683,17.96848679,16.95628548,17.67438507,17.28428268,17.36726189,16.75577354,18.55063438,17.15145302,16.61683655,17.77988625,17.21759796,16.30397606
"Ipo5",19.23015594,18.16962242,19.16083717,19.03014946,19.19253349,19.4807148,18.69019508,18.64856911,19.16152573,19.53179932,19.85157204,18.47615242,18.18857956,19.02269363,19.12229729,19.13260078
"Wdr61",16.46774864,15.85345554,18.27375984,13.96067524,16.19102097,16.61281013,16.31375122,16.70482254,16.26396561,13.02998161,17.33324242,16.28428268,15.40009212,17.14678764,16.56840134,16.53492546
"Nceh1",16.78889656,15.16777134,17.06297302,15.21829796,16.39161301,15.06419563,16.87219429,16.88476753,14.58431625,15.1447773,12.9388628,15.4353447,14.42186737,14.4126358,15.34841728,15.38414288
"Slc25a24",16.06090736,15.6280756,15.20409775,16.18474007,14.9197607,16.17903519,14.57073116,16.38341713,16.49114799,16.37170792,14.48705578,16.18912888,13.51941586,13.90673542,13.77324772,15.98701954
"Dlat",19.61110115,19.57741737,19.76252174,19.57463074,19.40395164,19.52951431,19.41026115,20.04246712,19.87620163,19.4269371,20.45030594,20.0318737,19.60720444,19.66911697,19.51804924,19.12237358
"Eif1ax;Eif1a",18.7647419,17.06697273,18.42119408,19.52094841,17.83738136,19.2819519,13.8550005,18.25345039,18.80072975,18.28011894,18.52856064,17.947752,17.92236328,17.9967823,14.17291164,18.77584267
"Ckap4",16.88928986,15.84414196,16.89166451,16.1691227,16.9569664,16.02941704,17.07858849,17.78059196,16.63990593,15.69392204,18.15041161,17.24998283,15.83533478,16.76914024,17.06959724,15.2553606
"Hadha",18.95662498,18.59174919,18.64082336,18.21575165,18.61741066,19.1201725,18.26228714,17.94059944,18.74537277,19.03198051,19.22599792,18.05669022,18.66083908,18.85790253,18.3827076,17.6103611
"Derl2",16.68112946,17.85835838,18.47262764,18.73075485,15.11403561,18.70218658,16.28964043,18.31411362,17.16555405,18.98437309,19.27744102,18.75818443,17.92125893,17.10513115,14.4862957,18.29759789
"Metap1;mKIAA0094",16.15266037,15.3744278,16.70617294,17.53548813,16.44456291,18.38990784,17.51983643,16.42876816,17.35457611,14.84455872,18.39811707,16.73423386,15.88366985,17.1059494,17.22590446,17.02615547
"Mrps2",15.2954464,15.75055027,14.86001968,14.39809608,15.22007561,15.53478909,14.23392963,16.25696373,15.89926243,15.4182148,14.09407806,15.45696354,15.58469868,15.50068665,15.16980743,15.47633457
"Tollip",15.91772175,16.21259117,17.68414497,16.81790733,17.08824921,16.51746941,16.39146233,16.45689964,17.25792122,17.23967361,14.13455391,14.31299591,16.34966087,16.78876877,16.45264435,16.30149651
"Scfd1",15.97026348,16.15224457,16.63849258,16.7626667,15.95367336,15.98355007,15.91288948,16.40167999,16.23521042,16.48216248,16.78749466,16.74123001,16.40690231,16.17903519,16.29578781,16.41121292
"B130006D01Rik",14.74072933,14.95041943,13.82396412,14.97862148,14.97951412,14.71451378,13.11111069,14.50053024,14.75295544,14.04073238,14.18386841,14.93142986,14.62793255,14.34318542,14.53740025,15.17566681
"Col4a3bp",15.41890717,15.89033508,17.20132065,14.6546917,18.33459663,14.99564362,13.13747215,13.21232414,14.71792889,14.81848431,14.76788521,14.87589359,18.8338356,14.62434769,16.54494858,15.44537067
"Mrpl49",14.653965,14.20541191,14.72115231,15.07714939,14.52460289,14.34096241,16.38196564,15.78777504,14.38855553,15.112216,15.13911152,14.58728123,14.4846344,14.89102459,14.83949947,12.75834751
"Srrm2",16.30171013,15.43202019,15.84217834,14.87382889,16.44609833,14.87022018,16.75407791,16.41749001,14.89325428,14.81463242,17.28428268,14.52973557,15.30584812,15.1089325,15.08248138,15.56081009
"Psat1",19.93272209,18.7879734,19.41365242,19.62034798,20.01644897,19.48445702,20.64605522,19.61030769,19.8577652,19.13671112,20.47437096,18.61151505,19.61219978,19.87309647,19.75823212,19.88894844
"Skiv2l2;mKIAA0052",17.36487007,16.32104683,15.77174759,18.84438705,16.99777412,16.12224197,17.57688332,19.76589203,16.95287704,15.61672115,14.9637537,18.73449707,16.34922981,14.97149849,16.67714119,18.71809769
"Gmppb",14.73125362,13.27361965,16.24136925,13.06887817,13.31473732,14.09331703,16.29268074,16.83232117,16.35266495,13.64914989,15.02880096,16.41084862,15.85715485,16.52949142,15.8683157,15.73574066
"Iars",18.61155128,16.78110313,18.36076164,18.360075,18.86942482,18.73766899,18.19628525,18.04153061,18.23934746,18.26865196,19.36482811,17.94420815,17.38936234,18.28883934,18.19272614,18.06465912
"Tardbp",18.45723724,18.81937408,18.37928581,18.69706917,18.57148552,18.88199234,18.76629639,17.65130424,18.20485687,18.84340668,18.88825035,17.35543633,18.18393517,18.56588364,18.48439789,18.31809235
"Acsl4",17.21522903,16.41103172,17.19959641,18.03359413,17.1639843,16.80057144,16.99634171,18.33529472,16.36074448,16.75420952,18.0111618,17.55292511,16.39655495,17.07284355,14.41962528,18.05907059
"Naa25",15.93066788,15.70062923,15.97607136,15.60891914,16.77712631,13.57339478,15.84962463,16.11930656,16.61079407,16.21988678,16.67961693,16.27104378,15.77411747,16.03017044,16.21918678,15.42544556
"Vps13c",17.12867928,17.097229,17.4458065,16.87171364,17.51329613,16.86459732,19.01047897,17.47642899,17.61151505,17.00107765,18.34780312,16.87339592,17.05917549,17.99711418,16.87891388,16.63551903
"Tmx3",15.8775959,14.37782097,15.36987019,14.78856564,15.28872204,14.80559254,13.9839735,16.6983242,14.45558453,14.86655426,17.62905693,13.36930752,15.31695557,14.9186306,14.70033169,14.53563976
"Rfc3",15.24974346,14.76999283,15.51008415,16.75642586,15.36197758,16.6456871,14.69363117,15.2502985,16.20460892,16.10105324,15.41894341,13.99838543,16.26124954,14.4671917,15.77707577,15.96029568
"Hat1",16.26541328,13.54385567,16.65717888,17.75636101,16.77930832,16.34002304,15.18797016,17.56115341,17.20132065,16.48436737,17.79709244,14.415308,16.90642166,14.86895275,16.04884911,16.11005592
"Tigar",16.21593094,13.34240055,15.77597046,16.70967674,16.47620773,13.75132561,13.14254951,15.81728363,16.25607872,13.30923748,17.0106163,16.52752304,14.44096947,16.71879959,16.26451683,16.2881813
"Vps11",15.33333015,14.31401634,15.864501,14.68769741,16.54114151,15.80057144,13.84027958,16.20785332,15.55557728,13.18138218,17.13480759,13.73574543,14.04464626,13.81015205,16.56292725,16.21243858
"Farsa",17.27403259,16.27799606,17.81615829,17.46738243,18.22604561,17.7062397,17.46905327,17.64357376,18.64912987,16.62042046,18.52817917,16.44711494,16.82003021,17.72906303,18.11964035,16.98415184
"Eftud1",16.42950439,15.85252953,15.0726347,15.54547691,15.96391201,15.49207211,14.2672224,15.68991566,14.60733032,14.38788223,14.05472851,14.56055546,15.80397987,14.82067776,14.04996586,15.1703167
"Slc25a13",17.58571053,18.17191887,17.78972435,18.01486969,17.96893692,17.49630737,17.58717728,18.09866905,18.0941906,16.71639061,18.02388382,17.04771996,16.8147831,17.5110569,17.43045235,17.30099678
"Rps21;mCG_6739",19.88464737,18.52523804,19.04532242,19.88182831,20.30463219,19.65702248,19.2557106,19.70299721,19.0177536,19.44604874,19.52863693,19.44576645,19.4342041,18.70336914,19.17279816,19.52177238
"Kars",18.52711105,18.10303116,17.82382774,18.03321838,17.93732834,18.15896416,18.96036339,18.45643425,18.09517097,17.75127029,18.87981033,19.02712822,16.87435722,18.47781372,18.12489891,17.60153961
"Atp5c1",18.31207657,15.62064934,17.8302803,16.9569664,17.94991875,17.85148048,18.92755318,19.06712914,18.45695686,16.83614922,14.75363445,16.93755722,16.74701309,17.86894226,18.00497818,15.66522503
"Usp44",14.65318871,12.77787209,11.3887167,12.61484814,23.03271484,11.9555769,14.50574589,15.23049927,12.51431942,11.81918144,15.03872776,13.25659466,13.06777,13.8050909,13.70791531,12.63383579
"Fen1",17.46291733,17.2334137,18.182724,18.5795002,17.46602821,18.76836586,17.3282547,18.04558945,18.4365654,18.97188568,19.03327179,18.16432762,18.72560501,18.79791451,18.33812714,18.33053207
"Pfkp",17.91823387,16.11278534,18.05165482,17.01127052,17.53062057,17.22270012,17.3303566,16.89557457,18.18446922,18.34866714,19.28145409,17.31530952,18.76752472,17.94638062,18.13901138,17.56502724
"Plek",19.53878784,18.82059097,19.88349915,19.83105278,19.96042061,19.28572655,19.88269424,19.46277809,19.08212852,20.5819664,20.23069572,19.05848885,18.40007973,19.8816185,20.32003403,18.9787159
"Dclre1b",18.02447891,13.74634743,15.30559826,18.19806099,18.16697693,12.60752678,18.30518913,18.63126183,18.17811012,13.83524132,14.52995586,17.46555138,13.55110264,14.82132149,18.20824432,13.10191059
"Efhd2",17.6575985,18.25939369,18.67700386,18.45245934,17.14648819,18.72790146,18.27644157,17.75935555,17.93491173,18.51240921,18.13831139,17.76013565,17.45322227,18.54611778,18.44511986,17.76888275
"Ralb",15.69443989,14.66650105,16.18972778,14.73951721,14.95760059,13.86487961,14.02224159,15.65418816,14.80720425,14.93405914,14.40586472,14.58821487,15.38805103,15.32527065,14.86234665,14.66705608
"Gspt1",16.9751091,16.79144287,16.57081985,16.53655052,17.61540031,16.41908836,14.93295288,16.39946175,16.91893387,16.41921997,17.01748276,17.0481472,16.6714859,16.81628418,16.9719696,16.39282036
"Trmt6",18.2778511,17.43786621,17.18824196,17.11390495,19.11677551,17.96369743,16.60936546,17.91986465,18.37318039,18.12807465,17.18243408,17.24646187,18.20871925,19.42375946,16.94042778,16.46919632
"Sf3b5",16.07817078,14.33084679,14.25554466,13.88826752,16.04435158,13.21207809,14.23174286,14.00105667,13.99850273,13.4287529,14.10489178,13.08529472,14.66277981,14.22278118,14.095397,14.13843155
"Slc38a2",17.31212044,18.47353935,16.37068748,18.18761253,17.7635746,17.52321053,16.29176521,16.69615173,17.57983208,18.05165482,16.88357353,18.03198051,18.01148987,16.98013878,14.87537384,17.94752312
"Polr2b",15.76603699,14.2651968,15.96339321,16.03593826,15.58308315,14.24527454,14.62450504,16.09928703,16.40302849,17.36144638,13.58324814,16.39434624,15.94395733,14.2419014,16.06324768,15.93039131
"Rbm28",16.55178261,16.18255043,15.66389179,15.94056606,18.12983704,16.38479996,15.45417118,13.86147976,16.68729401,16.35337067,14.17597198,16.72813225,16.51757622,14.26183033,15.90100861,16.39117622
"Eprs",19.37449646,17.96132469,19.03466988,18.88187218,19.66447067,18.99821663,19.17431068,19.31731987,19.39878464,18.56543732,19.69481087,18.57666206,18.65665436,19.00632095,18.93554497,18.19137764
"Sugp1",14.5450983,14.08381176,13.38537216,15.77280426,14.69288254,15.37595558,14.54259777,14.3119936,15.61651993,14.7710247,14.63416386,16.43250847,13.49346256,14.86650658,17.01617622,13.64926815
"Pgp",16.10349274,16.70913696,16.42798424,16.55818176,16.62013435,16.61396217,16.20168304,16.99865723,16.90630341,16.93755722,17.29068565,16.66108131,16.82264519,16.56979561,16.57657242,16.08959579
"Eif2b5",15.23251152,16.40738487,16.40600586,18.21271515,16.45281982,18.14673805,17.31052399,16.65885353,16.28554726,17.23229027,17.61597443,17.24887276,17.67865562,16.82214737,17.07890129,17.29598427
"Plcg2",18.73449707,19.18393517,19.28068542,18.70215225,18.44285393,19.30509949,18.98462486,19.21722031,19.61331558,19.2617836,19.69703484,19.00519753,19.09612274,19.68133545,19.03689766,18.34520531
"Eif3b",18.98981667,18.77423286,19.10236549,19.63995934,19.46199989,18.24209404,18.90721321,19.17716217,19.14457321,18.61909485,19.95020294,19.40773201,18.39535904,18.83913612,19.10454178,18.91701126
"Pak2",17.64758492,17.60385895,17.18126869,17.38186455,17.69995117,16.9202137,16.83713531,17.43518257,17.36717606,17.42053604,17.9675293,17.5508976,16.93318367,16.87819481,17.07294846,17.43867874
"Acad9",14.81017017,13.96830654,14.17724419,13.40807056,14.6583786,14.89637947,15.11223602,16.15866852,14.52814865,15.01867867,15.30499268,15.70681953,15.42495346,14.69462967,14.60397434,12.73077297
"Gfm1",14.92981339,14.70005989,14.83486557,15.05468941,15.58469868,14.9275465,15.04183006,16.09197235,15.16239166,14.85038185,14.47236633,14.51994324,13.59980965,15.02838135,14.85914612,14.85306549
"Plekho2",16.20246887,15.29598427,16.88273811,16.6714859,16.13109398,15.46464539,14.93915081,15.74580574,16.70805931,13.32683468,17.00514221,17.16957283,16.7471447,16.35290527,16.35926819,16.6456871
"Galm",17.51414299,16.67796707,17.35043907,16.52190781,17.54766273,16.99766541,16.8621769,17.27129936,17.82444954,16.50034332,17.28635979,16.90747833,17.25201797,17.41781998,17.95492363,17.051548
"Pdxk",16.14581299,16.45162964,17.44685745,16.86495972,15.91967773,16.4936676,18.03617287,16.5561161,17.48085403,16.68811417,18.51167488,16.78825951,17.24479103,16.26519394,17.25700188,16.69397736
"Fermt3",18.94260597,19.30204582,19.61442947,19.81230927,19.09522247,19.03014946,19.39836884,19.19279861,19.09364891,19.09653473,20.16201782,18.40291214,18.2977314,19.33854103,19.26906204,19.3934536
"Nat10",15.90011215,14.67719364,16.10386086,16.32616615,17.01006889,16.35823822,13.19999599,16.08909798,16.3064537,16.41187477,16.54714966,16.23195267,16.00081444,15.9688921,16.25637436,16.36739731
"Colgalt1",17.37067032,17.59921455,18.18785477,17.21038628,16.94443703,18.39422798,18.02518272,17.52343941,17.83898163,18.31491089,18.38675499,17.52756882,17.20848274,18.04841232,17.00864792,16.82699585
"Sdha",19.33024788,18.65295029,19.26574707,19.07645035,19.22284126,18.80750656,18.8044529,19.50463295,19.30910301,18.8795414,20.48089218,18.49478531,19.14865112,19.11642075,19.29497528,18.90032959
"Lsm14a",19.62204742,18.39100075,18.4944725,14.85885525,19.46187973,18.27380562,14.55456352,18.53012466,18.79207802,18.29207802,13.10350132,15.20991039,14.32236671,13.6241827,18.73565483,18.17951965
"Exoc2",14.66840172,14.86481857,15.78404713,16.91566849,15.73883152,16.51291084,13.52339458,14.62765121,16.09486198,17.02474976,17.13991165,16.34708405,12.86735153,15.91695213,15.9747057,16.50396538
"Kiaa1598",17.06139183,17.05282211,17.37788773,17.30874825,16.94900513,16.44462585,16.17082405,17.47627068,17.62406731,16.91974831,16.10744095,17.08150482,16.59375572,16.73396873,16.93962479,17.28518486
"Ephx1",17.63976479,17.69125366,19.45012474,17.85805321,18.90832901,18.04521561,19.02917862,18.89885521,18.80473518,17.87765503,19.3035183,17.75218391,17.77674103,18.10707474,18.60649872,17.27394104
"Sash3",16.15993118,13.75054741,15.89417839,14.22373676,16.0905056,13.38324833,15.71566677,15.66183376,17.10543823,13.66008759,17.17990875,14.39242554,14.59811497,16.77262306,16.10500908,13.34218025
"Ddx18",17.16918182,15.94649506,15.07627296,16.33224678,17.54162598,15.74924088,15.71781063,17.49654198,15.49981499,14.83954811,15.75697327,16.18390656,16.00963211,16.27797699,15.15252209,15.94407177
"Rtn4",19.44671631,19.94835091,20.0625,20.37368965,19.88758087,20.18313599,20.24400139,20.10980606,19.6567955,20.17694283,21.63957977,20.67512703,19.6726265,19.50601006,19.96253967,20.15090752
"Pitrm1",16.95014572,17.26792145,17.99937248,18.14524651,17.42226219,18.12928391,17.63275337,17.59331894,18.18881989,18.38275146,18.24116325,16.91298294,13.34124088,16.95571709,17.95424271,17.25423431
"Apoa1bp",17.01617622,18.05684853,17.76480675,17.5463829,17.70610428,17.79537964,18.1396122,17.04953003,17.31238747,17.84309959,19.25139427,18.45458794,17.2760334,17.6097126,17.5139122,17.16869164
